               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.046515,            0.052222,            0.039943,              0.5756,             0.49594,             0.49758,             0.30194,            0.034291,            0.045702,            0.038867,             0.00362,             0.00362,             0.04532
                 146,            0.048354,            0.048685,             0.04925,             0.32637,             0.68831,             0.47481,             0.26907,            0.033534,            0.046441,            0.038711,           0.0036203,           0.0036203,             0.04492
                 147,              0.0576,            0.048156,            0.049313,             0.32472,             0.68754,             0.48328,             0.24226,            0.036445,            0.047152,            0.038628,           0.0036203,           0.0036203,             0.04452
                 148,            0.057754,            0.051008,            0.048894,             0.34981,             0.69715,             0.48735,             0.27685,            0.034723,            0.046155,            0.038521,           0.0036198,           0.0036198,             0.04412
                 149,            0.060172,            0.052924,            0.048467,             0.32653,             0.73212,             0.49101,             0.23843,            0.036157,            0.048454,            0.038355,           0.0036191,           0.0036191,            0.043719
                 150,            0.054614,            0.054673,            0.042403,             0.27939,             0.74115,             0.37163,             0.19708,            0.043487,            0.047856,            0.038215,            0.003618,            0.003618,            0.043318
                 151,            0.049876,            0.049788,             0.03917,             0.51741,             0.51617,             0.43307,             0.27371,            0.037275,            0.047187,            0.038156,           0.0036166,           0.0036166,            0.042917
                 152,             0.05551,            0.059948,            0.046713,             0.36579,             0.76218,             0.50945,             0.33377,            0.031628,            0.043898,            0.037922,           0.0036148,           0.0036148,            0.042515
                 153,            0.069893,            0.054681,            0.052847,             0.22834,             0.69816,             0.36496,             0.19613,            0.044589,             0.05118,            0.037742,           0.0036127,           0.0036127,            0.042113
                 154,            0.076341,            0.047338,             0.05502,             0.31625,             0.71801,             0.40437,             0.26935,            0.041834,            0.046659,             0.03758,           0.0036103,           0.0036103,             0.04171
                 155,            0.061147,            0.047554,            0.048968,             0.36246,             0.66215,             0.47244,             0.28243,            0.040291,            0.046684,            0.037397,           0.0036076,           0.0036076,            0.041308
                 156,            0.060356,            0.051073,              0.0466,             0.36754,             0.74431,             0.53572,             0.36131,            0.038236,             0.04566,            0.037321,           0.0036045,           0.0036045,            0.040905
                 157,            0.053286,            0.050964,            0.044315,             0.39459,              0.7179,             0.54925,             0.37567,            0.036006,            0.045026,            0.037196,           0.0036011,           0.0036011,            0.040501
